Nr,Kod stacji,Kod międzynarodowy,Nazwa stacji,"Stary Kod stacji (o ile inny od aktualnego)",Data uruchomienia,Data zamknięcia,Typ stacji,Typ obszaru,Rodzaj stacji,Województwo,Miejscowość,Adres,WGS84 φ N,WGS84 λ E
1033,WpOborniki63,,Oborniki,,2004-02-01,2004-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Oborniki,ul. Piłsudskiego 76,-999,-999
1034,WpOdolanow,,Odolanów,,2004-01-01,2004-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Odolanów,ul. Krotoszyńska 121,-999,-999
1035,WpOpatowek,,Opatówek,,2005-01-01,2005-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Opatówek,,51.442521,18.125621
1036,WpOstrowWlkp.25103,,"Ostrów Wlkp.,ul. Rowińskiego 3",,2003-04-14,2005-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Ostrów Wielkopolski,ul. Rowińskiego 3,-999,-999
1037,WpOstWieWyso,PL0179A,"Ostrów Wielkopolski, ul. Wysocka",WpOstrowWlkpPM10,2004-09-03,2024-03-27,tło,miejski,wolnostojący pobornik pyłu,WIELKOPOLSKIE,Ostrów Wielkopolski,ul. Wysocka 57,51.637636,17.823306
1038,WpPiaskiKrzy,PL0247A,"Piaski, Krzyżówka",WpWKP004,2005-01-01,,tło,pozamiejski,kontenerowa stacjonarna,WIELKOPOLSKIE,Krzyżówka,Piaski 10,52.501318,17.773175
1039,WpPila57192,,"Piła, ul. Okrzei 8",,2003-04-22,2004-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Piła,ul. Okrzei 8,-999,-999
1040,WpPilaKusoci,PL0468A,"Pila, ul. Kusocińskiego",WpPila5710111,2003-01-01,,tło,miejski,kontenerowa stacjonarna,WIELKOPOLSKIE,Piła,ul. Kusocińskiego 10A,53.154408,16.759572
1041,WpPleszAlMic,PL0624A,"Pleszew, Al. Mickiewicza",WpPleszewPM10/14,2014-11-24,,tło,miejski,wolnostojący pobornik pyłu,WIELKOPOLSKIE,Pleszew,al. Mickiewicza,51.884922,17.791106
1042,WpPoznan63003,,"Poznań, ul. Rycerska 10",,2003-04-22,2004-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Poznań,ul. Rycerska 10,-999,-999
1043,WpPoznan63043,,"Poznań, ul. Polna 33",,2003-04-22,2004-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Poznań,ul. Polna 33,-999,-999
1044,WpPoznan63047,,"Poznań, os. Armii Krajowej 100",,2003-01-01,2004-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Poznań,os. Armii Krajowej,-999,-999
1045,WpPoznan63097,,"Poznań, ul. Kościuszki 118",,2003-01-02,2004-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Poznań,ul. Kościuszki,-999,-999
1046,WpPoznan63099,,"Poznan, ul. Słowiańska 78",,2003-01-02,2004-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Poznań,ul. Słowiańska,-999,-999
1047,WpPoznan63117,,"Poznań, ul. Kościuszki 92/98",,2003-01-01,2004-12-31,tło,miejski,kontenerowa stacjonarna,WIELKOPOLSKIE,Poznań,ul. Kościuszki 92/98,-999,-999
1048,WpPoznan63123,,"Poznan, ul. Chłapowskiego 12",,2003-01-02,2004-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Poznań,ul. Chłapowskiego 12,-999,-999
1049,WpPoznanPM10szpital,PL0180A,"Poznan, ul. 28czerwca1956",,2004-04-01,2009-12-31,tło,miejski,BRAK DANYCH,WIELKOPOLSKIE,Poznań,ul. 28 Czerwca 1956 135/147,52.389444,16.920833
1050,WpPoznDabrow,PL0245A,"Poznań, ul. Dąbrowskiego",WpWKP002,2005-01-01,,tło,miejski,kontenerowa stacjonarna,WIELKOPOLSKIE,Poznań,ul. Dąbrowskiego 169,52.420319,16.877289
1051,WpPoznPolank,PL0244A,"Poznań, ul. Polanka",WpWKP001,2005-01-01,2022-07-29,tło,miejski,kontenerowa stacjonarna,WIELKOPOLSKIE,Poznań,ul. Polanka,52.398175,16.959519
1052,WpPoznRatajeMOB,PL0713A,Poznań - RatajeMOB,,2019-01-01,2021-02-28,tło,miejski,mobilna,WIELKOPOLSKIE,Poznań,Żelazna,52.391728,16.998578
1053,WpPoznSpycha,PL0572A,"Poznań, ul. Spychalskiego","WpPoznanPOSIRPM10/11, WpPoznChwial",2012-01-01,,tło,miejski,wolnostojący pobornik pyłu,WIELKOPOLSKIE,Poznań,ul. Spychalskiego 34,52.392866,16.928442
1054,WpPoznSzwajc,PL0800A,Poznań ul. Szwajcarska,,2022-08-01,,tło,miejski,kontenerowa stacjonarna,WIELKOPOLSKIE,Poznań,ul. Szwajcarska,52.390879,16.998053
1055,WpPoznSzyman,PL0181A,"Poznań, ul. Szymanowskiego",WpPoznanSzymanowskiego17,2004-04-01,,tło,miejski,wolnostojący pobornik pyłu,WIELKOPOLSKIE,Poznań,ul. Szymanowskiego 17,52.459192,16.906200
1056,WpRawicz41303,,"Rawicz, Wały Dąbrowskiego 2",,2003-04-22,2004-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Rawicz,ul. Wały Dąbrowskiego 2,-999,-999
1057,WpSwarzedz,,"Swarzędz, ul. Mielżyńskiego 1",,2005-01-01,2005-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Swarzędz,ul. Mielżyńskiego 1,-999,-999
1058,WpSwarzedz63224,,"Swarzędz, ul. A.Mickiewicza 1",,2003-01-01,2005-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Swarzędz,ul. A.Mickiewicza,52.244133,17.044071
1059,WpSzamotKollMOB,PL0801A,"Szamotuły, ul. Kołłątaja",WpSzamotuMOB,2021-03-01,2023-02-16,tło,miejski,mobilna,WIELKOPOLSKIE,Szamotuły,ul. Kołłątaja 1,52.612277,16.588150
1060,WpSzamotuly63602,,"Szamotuły, ul. Dworcowa 28",,2003-01-01,2004-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Szamotuły,ul. Dworcowa,-999,-999
1061,WpTarPodZach,PL0532A,"Tarnowo Podgórne, ul. Zachodnia",WpTarnowoPodgornePM10/10,2010-01-01,2022-08-10,tło,podmiejski,wolnostojący pobornik pyłu,WIELKOPOLSKIE,Tarnowo Podgórne,ul. Zachodnia,52.467407,16.645903
1062,WpTurek31046,,"Turek, ul. Uniejowska 1a",,2003-04-22,2004-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Turek,ul. Uniejowska 1a,-999,-999
1063,WpWagrowiec57203,,"Wągrowiec, ul. Krótka 4",,2003-04-22,2004-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Wągrowiec,ul. Krótka 4,-999,-999
